Pathology;Metric;Model;Mean;Std;CI95;Lower;Upper
Pneumothorax;AUC-ROC;224;89;0,26;0,5096;88,4904;89,5096
Pneumothorax;AUC-ROC;512;89,35;0,26;0,5096;88,8404;89,8596
Pneumothorax;F1;224;49,01;0,63;1,2348;47,7752;50,2448
Pneumothorax;F1;512;49,96;0,64;1,2544;48,7056;51,2144
Pneumothorax;MCC;224;45,64;0,65;1,274;44,366;46,914
Pneumothorax;MCC;512;46,66;0,67;1,3132;45,3468;47,9732
Fracture;AUC-ROC;224;85,83;0,3;0,588;85,242;86,418
Fracture;AUC-ROC;512;86,15;0,3;0,588;85,562;86,738
Fracture;F1;224;51,28;0,57;1,1172;50,1628;52,3972
Fracture;F1;512;53,34;0,56;1,0976;52,2424;54,4376
Fracture;MCC;224;46,24;0,6;1,176;45,064;47,416
Fracture;MCC;512;48,51;0,6;1,176;47,334;49,686
Lung Lesion;AUC-ROC;224;81;0,32;0,6272;80,37;81,6272
Lung Lesion;AUC-ROC;512;82,25;0,32;0,6272;81,62;82,8772
Lung Lesion;F1;224;41,98;0,57;1,1172;40,86;43,0972
Lung Lesion;F1;512;43,19;0,6;1,176;42,01;44,366
Lung Lesion;MCC;224;36,93;0,61;1,1956;35,73;38,1256
Lung Lesion;MCC;512;38,44;0,63;1,2348;37,21;39,6748
