Dataset;CheXpert;MIMIC;PadChest;NIH;OpenI;VinDr;SIIM-ACR;RSNA;Object;Kermany;Merged
Atelectasis;90,01;80,63;81,12;80,23;85,10;84,95;;;;;89,63
Cardiomegaly;89,22;80,84;91,19;90,28;91,42;97,54;;;;;91,75
Consolidation;89,07;80,30;85,37;81,01;77,12;93,91;;;;;93,97
Edema;88,75;88,46;93,26;89,08;86,36;;;;;;94,00
Enlarged Cardiomediastinum;91,04;70,49;87,34;;87,11;;;;;;95,30
Fracture;80,93;57,62;66,81;;62,30;59,75;;;;;85,83
Lung Lesion;83,96;71,72;75,25;74,48;66,94;87,01;;;;;80,99
Lung Opacity;93,29;74,42;85,76;69,81;83,00;90,00;;;;;88,49
Pleural Effusion;89,13;90,30;95,59;88,97;92,01;96,65;;;;;92,62
Pneumonia;83,26;69,51;80,43;72,99;71,99;92,98;;87,10;;68,08;83,98
Pneumothorax;86,09;85,32;82,88;88,20;93,08;95,49;93,10;;;;89,02
Support Device;91,60;89,28;97,54;;74,06;;;;75,94;;93,95
