Dataset;CheXpert;MIMIC;PadChest;NIH;OpenI;VinDr;SIIM-ACR;RSNA;Object;Kermany;Merged
Atelectasis;86,01;52,67;36,50;40,47;42,65;19,83;;;;;70,69
Cardiomegaly;85,28;50,20;55,31;35,19;58,03;76,82;;;;;72,27
Consolidation;82,89;22,23;16,32;25,66;39,94;37,24;;;;;75,87
Edema;79,79;50,85;26,34;23,38;43,43;;;;;;71,17
Enlarged Cardiomediastinum;89,11;13,00;44,57;;43,54;;;;;;83,60
Fracture;57,41;5,33;11,16;;10,63;2,90;;;;;51,27
Lung Lesion;53,10;17,42;31,11;38,02;40,17;30,54;;;;;41,98
Lung Opacity;91,40;48,02;52,30;40,50;52,15;48,77;;;;;72,59
Pleural Effusion;81,71;69,03;65,08;56,96;48,69;74,66;;;;;74,53
Pneumonia;59,61;21,94;27,47;7,89;4,03;45,45;;62,70;;86,73;47,20
Pneumothorax;53,82;39,57;28,54;47,84;33,52;42,86;75,96;;;;48,99
Support Device;89,48;69,78;82,06;;53,00;;;;71,48;;81,99
