Pathology;Class;Images;ImagePercent;CheXpert;MIMIC;PadChest;NIH;Open-I;VinDr;SIIM-ACR;RSNA;Object-CXR;Kermany
Pneumothorax;Pos;33471;6,11%;52,57%;26,56%;12,98%;1,29%;0,06%;0,16%;6,38%;;;
Pneumothorax;Neg;514735;93,89%;26,23%;35,29%;16,62%;17,20%;0,59%;2,61%;1,46%;;;
Lung Lesion;Pos;42186;7,83%;50,46%;12,00%;21,17%;14,10%;1,34%;0,94%;;;;
Lung Lesion;Neg;496383;92,17%;26,45%;37,37%;16,31%;16,72%;0,50%;2,64%;;;;
Fracture;Pos;42272;9,42%;84,88%;8,81%;;6,05%;0,16%;0,09%;;;;
Fracture;Neg;406392;90,58%;28,72%;45,97%;;21,26%;0,73%;3,31%;;;;
Pneumonia;Pos;62131;11,00%;55,73%;21,55%;1,85%;6,77%;0,05%;0,68%;;7,74%;;5,63%
Pneumonia;Neg;502495;89,00%;23,48%;35,26%;17,66%;16,87%;0,60%;2,60%;;3,29%;;0,24%
Consolidation;Pos;92408;17,16%;84,57%;9,78%;1,45%;4,05%;0,02%;0,12%;;;;
Consolidation;Neg;446161;82,84%;16,69%;40,69%;19,64%;19,31%;0,68%;3,00%;;;;
Edema;Pos;96574;17,93%;73,12%;23,76%;1,14%;1,90%;0,08%;0,00%;;;;
Edema;Neg;441995;82,07%;18,55%;37,92%;19,88%;19,93%;0,67%;3,05%;;;;
Pleural Effusion;Pos;136184;25,29%;54,53%;33,01%;7,87%;4,09%;0,08%;0,42%;;;;
Pleural Effusion;Neg;402385;74,71%;19,47%;36,19%;19,68%;20,72%;0,73%;3,21%;;;;
Cardiomegaly;Pos;138781;25,77%;63,87%;26,81%;1,57%;6,37%;0,20%;1,18%;;;;
Cardiomegaly;Neg;399788;74,23%;16,00%;38,36%;21,94%;20,04%;0,69%;2,97%;;;;
Atelectasis;Pos;144542;26,84%;61,99%;26,38%;6,42%;4,99%;0,18%;0,04%;;;;
Atelectasis;Neg;394027;73,16%;15,99%;38,69%;20,46%;20,74%;0,71%;3,41%;;;;
Enlarged Cardio.;Pos;117862;27,08%;88,61%;5,05%;6,14%;;0,20%;;;;;
Enlarged Cardio.;Neg;317307;72,92%;15,18%;58,18%;25,75%;;0,89%;;;;;
Lung Opacity;Pos;180436;33,50%;60,75%;23,62%;8,84%;6,16%;0,28%;0,36%;;;;
Lung Opacity;Neg;358133;66,50%;12,00%;41,31%;20,65%;21,74%;0,71%;3,59%;;;;
Support Device;Pos;162263;36,68%;61,86%;29,81%;6,01%;;0,09%;;;;2,22%;
Support Device;Neg;280106;63,32%;18,64%;50,76%;28,28%;;1,03%;;;;1,29%;
